GInOut,esbCntcDt,forEmpTeu,forEmp_10,forEmp_20,forEmp_40,forEmp_99,korEmpTeu,korEmp_10,korEmp_20,korEmp_40,korEmp_99,mm,ocCt,prtAtCode,yyyy
2,2018-06-27 14:41:37.000,14354.00,8,6196,3854,199,1636.00,0,606,515,0,09,1,030,2005
3,2018-06-27 14:41:37.000,0.00,0,0,0,0,2.00,0,2,0,0,09,1,030,2005
4,2018-06-27 14:41:37.000,2.00,0,2,0,0,0.00,0,0,0,0,09,1,030,2005
1,2018-06-27 14:41:37.000,0.00,0,0,0,0,892.00,0,182,355,0,09,2,030,2005
2,2018-06-27 14:41:37.000,0.00,0,0,0,0,147.00,0,73,37,0,09,2,030,2005
3,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,09,2,030,2005
4,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,09,2,030,2005
1,2018-06-27 14:41:37.000,3541.00,0,857,1342,0,623.00,0,573,25,0,10,1,030,2005
2,2018-06-27 14:41:37.000,16727.00,12,7585,4352,195,2109.00,0,619,745,0,10,1,030,2005
3,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,10,1,030,2005
4,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,10,1,030,2005
1,2018-06-27 14:41:37.000,0.00,0,0,0,0,1054.00,0,42,506,0,10,2,030,2005
2,2018-06-27 14:41:37.000,0.00,0,0,0,0,166.00,0,68,49,0,10,2,030,2005
1,2018-06-27 14:41:37.000,4279.00,0,1135,1572,0,217.00,0,117,50,0,11,1,030,2005
2,2018-06-27 14:41:37.000,20817.00,7,10292,5171,82,2754.00,0,1196,779,0,11,1,030,2005
3,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,11,1,030,2005
4,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,11,1,030,2005
1,2018-06-27 14:41:37.000,0.00,0,0,0,0,330.00,0,2,164,0,11,2,030,2005
2,2018-06-27 14:41:37.000,0.00,0,0,0,0,339.00,0,177,81,0,11,2,030,2005
3,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,11,2,030,2005
4,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,11,2,030,2005
3,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,10,2,030,2005
4,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,10,2,030,2005
1,2018-06-27 14:41:37.000,2910.00,0,714,1098,0,422.00,0,234,94,0,12,1,030,2005
2,2018-06-27 14:41:37.000,16446.00,9,8233,4066,37,2260.00,0,866,697,0,12,1,030,2005
3,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,12,1,030,2005
4,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,12,1,030,2005
1,2018-06-27 14:41:37.000,0.00,0,0,0,0,1151.00,0,11,570,0,03,2,030,2005
2,2018-06-27 14:41:37.000,0.00,0,0,0,0,130.00,0,60,35,0,03,2,030,2005
3,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,03,2,030,2005
4,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,03,2,030,2005
1,2018-06-27 14:41:37.000,1936.00,0,1526,205,0,319.00,0,259,30,0,04,1,030,2005
2,2018-06-27 14:41:37.000,12423.00,54,5395,3141,317,1147.00,0,392,355,20,04,1,030,2005
3,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,04,1,030,2005
4,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,04,1,030,2005
1,2018-06-27 14:41:37.000,0.00,0,0,0,0,301.00,0,135,83,0,04,2,030,2005
2,2018-06-27 14:41:37.000,0.00,0,0,0,0,292.00,0,24,134,0,04,2,030,2005
3,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,04,2,030,2005
4,2018-06-27 14:41:37.000,0.00,0,0,0,0,0.00,0,0,0,0,04,2,030,2005
1,2018-06-27 14:41:37.000,2946.00,0,1326,802,7,558.00,0,542,8,0,05,1,030,2005
2,2018-06-27 14:41:37.000,11828.00,42,5240,3096,165,1145.00,0,227,459,0,05,1,030,2005
