yyyy,mm,GInOut,ocCt,forEmpTeu,korEmpTeu,forEmp_10,forEmp_20,forEmp_40,forEmp_99,korEmp_10,korEmp_20,korEmp_40,korEmp_99
2026,03,1,1,7427.50,403.00,0,255,3584,2,0,169,117,0
2026,03,2,1,55925.25,7954.00,0,16501,18676,921,0,2112,2921,0
2026,03,3,1,180.00,0.00,0,0,90,0,0,0,0,0
2026,03,4,1,180.00,0.00,0,0,90,0,0,0,0,0
2026,03,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,03,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,05,4,1,0.00,0.00,0,0,0,0,0,0,0,0
2026,05,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,05,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,06,2,1,65545.25,8520.50,0,18582,22054,1269,0,2739,2884,6
2026,06,3,1,80.00,0.00,0,0,40,0,0,0,0,0
2026,06,1,1,6792.25,1778.00,0,347,3217,5,0,434,672,0
2026,06,4,1,182.00,0.00,0,0,91,0,0,0,0,0
2026,06,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,04,1,1,10356.00,1048.00,0,230,5063,0,0,434,307,0
2026,04,2,1,66357.50,11752.00,0,19984,21695,1326,0,2910,4421,0
2026,04,3,1,29.00,0.00,0,7,11,0,0,0,0,0
2026,04,4,1,11.00,0.00,0,7,2,0,0,0,0,0
2026,04,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,02,1,1,5190.00,346.00,0,124,2533,0,0,112,117,0
2026,02,2,1,53639.25,7619.00,0,16058,17921,773,0,2387,2616,0
2026,02,3,1,96.00,0.00,0,0,48,0,0,0,0,0
2026,02,4,1,268.00,0.00,0,0,134,0,0,0,0,0
2026,02,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,02,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,05,1,1,12129.25,1000.00,0,425,5851,1,0,298,351,0
2026,05,2,1,71413.00,8878.00,0,18507,25103,1200,0,2298,3290,0
2026,05,3,1,102.00,0.00,0,0,51,0,0,0,0,0
2026,01,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,01,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,06,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,04,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2026,01,1,1,9987.00,595.00,0,400,4789,4,0,313,141,0
2026,01,2,1,73232.50,11553.00,0,18117,26363,1062,0,3283,4135,0
2026,01,3,1,332.00,304.00,0,10,161,0,0,0,152,0
2026,01,4,1,404.00,0.00,0,10,197,0,0,0,0,0
