항만,구분,선박규모_DWT,선석_개,부두길이_m,하역능력_BULK_천RT,하역능력_CONT_천TEU,행복구
인천항,신항,"3,000 ~ 75,000 (2,000 ~ 3,000TEU)",10,"2,900","46,990","2,162",
인천항,내항,"2,000 ~ 50,000",43,"9,405","38,161",,
인천항,남항,"2,000 ~ 100,000 (2,000 ~ 3,000TEU, 225,000GT)",30,"5,018","18,110",762,
인천항,연안항,"500 ~ 40,000",9,"1,429","8,270",,
인천항,북항,"5,000 ~ 180,000",26,"6,413","39,330",,
인천항,송도,"3,000 ~ 75,000",4,"1,300",,,
인천항,영흥도,"150,000 ~ 200,000",3,896,"14,690",,
인천항,거첨도,"5,000",4,675,"8,320",,항만열 승계
인천항,부잔교(16기),,,"2,068",,,항만열 승계
경인항,인천지구,"5,000 ~ 10,000 (700TEU)",8,"1,130","2,064",220,
경인항,김포지구,"4,000 (400TEU)",5,555,"1,050",110,
계,계,계,138,"28,421","176,985","3,254",
