취급화물,선박규모_DWT,선석_개,부두길이_m,하역능력_BULK_천RT,하역능력_CONT_천TEU
컨테이너,"4,000 ~ 40,000 (400 ~ 3,000TEU 이상)",14,"3,209",,"3,254"
잡화,"4,000 ~ 50,000",51,"10,248","31,035",
목재,"20,000 ~ 50,000",3,730,"1,770",
자동차,"50,000",2,590,"6,200",
철재,"10,000 ~ 50,000",7,"1,596","7,960",
양곡,"30,000 ~ 50,000",6,"1,696","8,870",
석탄,"100,000 ~ 200,000",4,"1,136","18,200",
시멘트,"10,000",4,762,"3,840",
유류,"500 ~ 180,000",14,"2,757","32,940",
여객,"10,000 ~ 225,000GT",12,"2,847",,
모래,"2,000 ~ 5,000",15,"1,597","17,980",
영흥화력,"2,000 ~ 200,000",4,"1,116",,
기타,"500 ~ 127,000",6,"1,253","48,190",
계,계,138,"28,421","176,985","3,254"
