reqYymm,year,cstmSgn,portCd,statKor,expCnt,expDlr,impCnt,impDlr,balPayments
202412,202412,010,010,서울세관,32,1160,0,0,1160
202412,202412,012,010,서울세관,588,45679,0,0,45679
202412,202412,017,010,서울세관,2,20,0,0,20
202412,202412,130,010,서울세관,204,3302,0,0,3302
202412,202412,011,037,부산국제우편세관,1,2062,0,0,2062
202412,202412,030,037,부산국제우편세관,6,23897,0,0,23897
202412,202412,033,037,부산국제우편세관,6,6332,0,0,6332
202412,202412,037,037,부산국제우편세관,1,480,26,56193,-55713
202412,202412,039,037,부산국제우편세관,1,595,0,0,595
202412,202412,040,037,부산국제우편세관,0,0,1,1052,-1052
202412,202412,050,037,부산국제우편세관,2,491,0,0,491
202412,202412,151,037,부산국제우편세관,1,4144,0,0,4144
202412,202412,037,040,인천공항세관,0,0,1,2834,-2834
202412,202412,040,040,인천공항세관,0,0,16,31421,-31421
202412,202412,151,CJJ,청주국제공항,0,0,60,206387,-206387
202412,202412,090,CJU,제주국제공항,9,19802,149,583116,-563314
202412,202412,010,GMP,김포국제공항,57,6967991,1,1406,6966585
202412,202412,011,GMP,김포국제공항,2,4940,0,0,4940
202412,202412,012,GMP,김포국제공항,17,882,0,0,882
202412,202412,017,GMP,김포국제공항,5,18249,0,0,18249
202412,202412,020,GMP,김포국제공항,15,17429,0,0,17429
202412,202412,021,GMP,김포국제공항,1,29808,0,0,29808
202412,202412,023,GMP,김포국제공항,519,3781086,0,0,3781086
202412,202412,030,GMP,김포국제공항,17,312,0,0,312
202412,202412,040,GMP,김포국제공항,36204,3643671,0,0,3643671
202412,202412,041,GMP,김포국제공항,265,1651499,1959,168146805,-166495306
202412,202412,053,GMP,김포국제공항,0,0,1,7605,-7605
202412,202412,102,GMP,김포국제공항,1,818,0,0,818
202412,202412,120,GMP,김포국제공항,4,5086,0,0,5086
202412,202412,130,GMP,김포국제공항,219,21877,0,0,21877
202412,202412,131,GMP,김포국제공항,4,29957,0,0,29957
202412,202412,152,GMP,김포국제공항,1,1934,0,0,1934
202412,202412,010,ICN,인천국제공항,50135,157136373,2577,130911476,26224897
202412,202412,011,ICN,인천국제공항,4043,6012903,1,2025,6010878
202412,202412,012,ICN,인천국제공항,12550,2416070814,1795,911415453,1504655361
202412,202412,014,ICN,인천국제공항,9066,177027931,198,15805258,161222673
202412,202412,016,ICN,인천국제공항,12823,1668304899,3562,517847373,1150457526
202412,202412,017,ICN,인천국제공항,29790,352251312,3312,178673098,173578214
202412,202412,020,ICN,인천국제공항,13209,964714572,3341,1136611886,-171897314
202412,202412,021,ICN,인천국제공항,24613,1424637026,9105,1005072191,419564835
202412,202412,023,ICN,인천국제공항,31925,189044022,1092,139678331,49365691
202412,202412,030,ICN,인천국제공항,5254,120744981,913,66588109,54156872
202412,202412,033,ICN,인천국제공항,436,3717611,13,375392,3342219
202412,202412,037,ICN,인천국제공항,0,0,4,6089,-6089
202412,202412,039,ICN,인천국제공항,3342,20551055,202,30548794,-9997739
202412,202412,040,ICN,인천국제공항,477972,8398011885,3452159,9838155373,-1440143488
202412,202412,041,ICN,인천국제공항,4307,13234184,2636,148503509,-135269325
202412,202412,050,ICN,인천국제공항,528,11476409,122,12611096,-1134687
202412,202412,051,ICN,인천국제공항,17,70207,346,10967951,-10897744
202412,202412,053,ICN,인천국제공항,5069,77828007,1998,85016124,-7188117
202412,202412,054,ICN,인천국제공항,23,199198,5,1933592,-1734394
202412,202412,056,ICN,인천국제공항,2477,46709475,1455,62967466,-16257991
202412,202412,060,ICN,인천국제공항,147,3081099,10,199811,2881288
202412,202412,062,ICN,인천국제공항,100,16823503,10,55336,16768167
202412,202412,070,ICN,인천국제공항,73,1433863,73,3490912,-2057049
202412,202412,071,ICN,인천국제공항,3153,207050578,1942,785195348,-578144770
202412,202412,080,ICN,인천국제공항,123,13508147,6,1020687,12487460
202412,202412,081,ICN,인천국제공항,501,20625069,139,3302652,17322417
202412,202412,082,ICN,인천국제공항,733,5894845,41,1747869,4146976
202412,202412,084,ICN,인천국제공항,7,61431,6,24780,36651
202412,202412,090,ICN,인천국제공항,403,562384,136,5572272,-5009888
202412,202412,100,ICN,인천국제공항,117,2387693,0,0,2387693
202412,202412,101,ICN,인천국제공항,27,654323,0,0,654323
202412,202412,102,ICN,인천국제공항,957,43331930,0,0,43331930
202412,202412,110,ICN,인천국제공항,638,21199187,1038,45803212,-24604025
202412,202412,120,ICN,인천국제공항,4600,97606116,309,30311732,67294384
202412,202412,121,ICN,인천국제공항,11989,1383648817,5958,997759462,385889355
202412,202412,122,ICN,인천국제공항,242,9702361,31,380541,9321820
202412,202412,130,ICN,인천국제공항,22302,111573294,318,16119058,95454236
202412,202412,131,ICN,인천국제공항,5204,70874079,155,2095221,68778858
202412,202412,140,ICN,인천국제공항,252,2192535,1394,31715537,-29523002
202412,202412,150,ICN,인천국제공항,2910,90936020,240,9807927,81128093
202412,202412,151,ICN,인천국제공항,6975,1633303895,1047,219847274,1413456621
202412,202412,152,ICN,인천국제공항,8875,2868632340,3015,976816237,1891816103
202412,202412,153,ICN,인천국제공항,1317,30868666,77,1345040,29523626
202412,202412,154,ICN,인천국제공항,108,994819,9,124172,870647
202412,202412,010,KRBNP,부산신항,77,2164332,547,20944491,-18780159
202412,202412,011,KRBNP,부산신항,103,3937994,0,0,3937994
202412,202412,012,KRBNP,부산신항,382,21075045,5022,288345295,-267270250
202412,202412,014,KRBNP,부산신항,670,42305322,256,19777659,22527663
202412,202412,016,KRBNP,부산신항,559,56344875,1718,108096522,-51751647
202412,202412,017,KRBNP,부산신항,629,40010664,97,4888945,35121719
202412,202412,020,KRBNP,부산신항,583,57018843,673,31447622,25571221
202412,202412,021,KRBNP,부산신항,856,61892441,3800,216789402,-154896961
202412,202412,023,KRBNP,부산신항,423,20470308,177,6744890,13725418
202412,202412,030,KRBNP,부산신항,20727,1846758006,39642,4589247576,-2742489570
202412,202412,033,KRBNP,부산신항,855,44092645,2207,104864658,-60772013
202412,202412,039,KRBNP,부산신항,239,31905857,227,15194175,16711682
202412,202412,040,KRBNP,부산신항,24,2630064,513,20333550,-17703486
202412,202412,041,KRBNP,부산신항,24,1224972,974,33682336,-32457364
202412,202412,050,KRBNP,부산신항,313,34929749,57,919770,34009979
202412,202412,051,KRBNP,부산신항,2,566790,107,37586647,-37019857
202412,202412,052,KRBNP,부산신항,2,68762,0,0,68762
202412,202412,053,KRBNP,부산신항,13322,422862448,723,43340264,379522184
202412,202412,054,KRBNP,부산신항,19,1913881,6,1429151,484730
202412,202412,056,KRBNP,부산신항,332,25820492,227,30176166,-4355674
