esbCntcDt,forEmpTeu,forEmp_10,forEmp_20,forEmp_40,forEmp_99,GInOut,korEmpTeu,korEmp_10,korEmp_20,korEmp_40,korEmp_99,mm,ocCt,prtAtCode,yyyy
2026-04-17 09:55:55.000,7427.50,0,255,3584,2,1,403.00,0,169,117,0,03,1,030,2026
2026-04-17 09:55:55.000,55925.25,0,16501,18676,921,2,7954.00,0,2112,2921,0,03,1,030,2026
2026-04-17 09:55:55.000,180.00,0,0,90,0,3,0.00,0,0,0,0,03,1,030,2026
2026-04-17 09:55:55.000,180.00,0,0,90,0,4,0.00,0,0,0,0,03,1,030,2026
2026-04-17 09:55:55.000,0.00,0,0,0,0,1,0.00,0,0,0,0,03,2,030,2026
2026-04-17 09:55:55.000,0.00,0,0,0,0,2,0.00,0,0,0,0,03,2,030,2026
2026-06-18 14:23:52.000,0.00,0,0,0,0,2,0.00,0,0,0,0,05,2,030,2026
2026-06-18 14:23:52.000,12129.25,0,425,5851,1,1,1000.00,0,298,351,0,05,1,030,2026
2026-06-18 14:23:52.000,71413.00,0,18507,25103,1200,2,8878.00,0,2298,3290,0,05,1,030,2026
2026-06-18 14:23:52.000,102.00,0,0,51,0,3,0.00,0,0,0,0,05,1,030,2026
2026-06-18 14:23:52.000,0.00,0,0,0,0,4,0.00,0,0,0,0,05,1,030,2026
2026-06-18 14:23:52.000,0.00,0,0,0,0,1,0.00,0,0,0,0,05,2,030,2026
2026-02-19 10:19:12.000,0.00,0,0,0,0,1,0.00,0,0,0,0,01,2,030,2026
2026-02-19 10:19:12.000,0.00,0,0,0,0,2,0.00,0,0,0,0,01,2,030,2026
2026-05-17 18:38:55.000,0.00,0,0,0,0,2,0.00,0,0,0,0,04,2,030,2026
2026-05-17 18:38:55.000,10356.00,0,230,5063,0,1,1048.00,0,434,307,0,04,1,030,2026
2026-05-17 18:38:55.000,66357.50,0,19984,21695,1326,2,11752.00,0,2910,4421,0,04,1,030,2026
2026-05-17 18:38:55.000,29.00,0,7,11,0,3,0.00,0,0,0,0,04,1,030,2026
2026-05-17 18:38:55.000,11.00,0,7,2,0,4,0.00,0,0,0,0,04,1,030,2026
2026-05-17 18:38:55.000,0.00,0,0,0,0,1,0.00,0,0,0,0,04,2,030,2026
2026-02-19 10:19:12.000,9987.00,0,400,4789,4,1,595.00,0,313,141,0,01,1,030,2026
2026-02-19 10:19:12.000,73232.50,0,18117,26363,1062,2,11553.00,0,3283,4135,0,01,1,030,2026
2026-02-19 10:19:12.000,332.00,0,10,161,0,3,304.00,0,0,152,0,01,1,030,2026
2026-02-19 10:19:12.000,404.00,0,10,197,0,4,0.00,0,0,0,0,01,1,030,2026
2026-03-19 09:57:46.000,5190.00,0,124,2533,0,1,346.00,0,112,117,0,02,1,030,2026
2026-03-19 09:57:46.000,53639.25,0,16058,17921,773,2,7619.00,0,2387,2616,0,02,1,030,2026
2026-03-19 09:57:46.000,96.00,0,0,48,0,3,0.00,0,0,0,0,02,1,030,2026
2026-03-19 09:57:46.000,268.00,0,0,134,0,4,0.00,0,0,0,0,02,1,030,2026
2026-03-19 09:57:46.000,0.00,0,0,0,0,1,0.00,0,0,0,0,02,2,030,2026
2026-03-19 09:57:46.000,0.00,0,0,0,0,2,0.00,0,0,0,0,02,2,030,2026
