esbCntcDt,forEmpTeu,forEmp_10,forEmp_20,forEmp_40,forEmp_99,GInOut,korEmpTeu,korEmp_10,korEmp_20,korEmp_40,korEmp_99,mm,ocCt,prtAtCode,yyyy
2026-03-19 10:17:49.000,52.00,0,0,26,0,4,0.00,0,0,0,0,10,1,030,2025
2026-03-19 10:17:49.000,0.00,0,0,0,0,1,0.00,0,0,0,0,10,2,030,2025
2026-03-19 10:17:49.000,0.00,0,0,0,0,2,0.00,0,0,0,0,10,2,030,2025
2026-03-19 10:17:49.000,9337.50,0,567,4383,2,1,269.50,0,169,48,2,11,1,030,2025
2026-03-19 10:17:49.000,69087.50,0,19596,23317,1270,2,11075.00,0,2577,4249,0,11,1,030,2025
2026-03-19 10:17:49.000,296.00,0,24,136,0,3,104.00,0,0,52,0,11,1,030,2025
2026-03-19 10:17:49.000,114.00,0,0,57,0,4,0.00,0,0,0,0,11,1,030,2025
2026-03-19 10:17:49.000,0.00,0,0,0,0,1,0.00,0,0,0,0,11,2,030,2025
2026-03-19 10:17:49.000,0.00,0,0,0,0,2,0.00,0,0,0,0,11,2,030,2025
2026-03-19 10:17:49.000,10818.50,0,332,5241,2,1,584.50,0,256,162,2,12,1,030,2025
2026-03-19 10:17:49.000,67434.00,0,18036,23052,1464,2,11020.00,0,2352,4334,0,12,1,030,2025
2026-03-19 10:17:49.000,194.00,0,14,90,0,3,0.00,0,0,0,0,12,1,030,2025
2026-03-19 10:17:49.000,428.00,0,14,207,0,4,0.00,0,0,0,0,12,1,030,2025
2026-03-19 10:17:49.000,0.00,0,0,0,0,1,0.00,0,0,0,0,12,2,030,2025
2026-03-19 10:17:49.000,0.00,0,0,0,0,2,0.00,0,0,0,0,12,2,030,2025
2026-03-19 10:17:49.000,0.00,0,0,0,0,1,0.00,0,0,0,0,06,2,030,2025
2026-03-19 10:17:49.000,0.00,0,0,0,0,2,0.00,0,0,0,0,06,2,030,2025
2026-03-19 10:17:49.000,9750.00,0,406,4672,0,1,452.00,0,154,149,0,10,1,030,2025
2026-03-19 10:17:49.000,61196.50,0,16274,21082,1226,2,9013.00,0,2969,3022,0,10,1,030,2025
2026-03-19 10:17:49.000,215.00,0,59,78,0,3,12.00,0,0,6,0,10,1,030,2025
2026-01-16 09:53:14.000,71.00,0,1,35,0,4,0.00,0,0,0,0,04,1,030,2025
2026-01-16 09:53:14.000,13021.00,0,267,6377,0,1,190.00,0,60,65,0,05,1,030,2025
2026-01-16 09:53:14.000,59588.00,0,18706,19298,1016,2,9631.00,0,3209,3211,0,05,1,030,2025
2026-01-16 09:53:14.000,116.00,0,0,58,0,3,0.00,0,0,0,0,05,1,030,2025
2026-01-16 09:53:14.000,60.00,0,0,30,0,4,0.00,0,0,0,0,05,1,030,2025
2026-01-16 09:53:14.000,0.00,0,0,0,0,1,0.00,0,0,0,0,05,2,030,2025
2026-01-16 09:53:14.000,0.00,0,0,0,0,2,0.00,0,0,0,0,05,2,030,2025
2026-01-16 10:03:16.000,9904.00,0,292,4806,0,1,555.75,0,520,10,7,07,1,030,2025
2026-01-16 10:03:16.000,58455.75,0,17575,19033,1251,2,9803.00,0,2687,3558,0,07,1,030,2025
2026-01-16 10:03:16.000,60.00,0,0,30,0,3,60.00,0,0,30,0,07,1,030,2025
2026-01-16 09:53:14.000,10165.00,0,261,4952,0,1,268.00,0,14,127,0,01,1,030,2025
2026-01-16 09:53:14.000,70292.25,0,20826,23418,1169,2,7669.00,0,1829,2920,0,01,1,030,2025
2026-01-16 09:53:14.000,1262.00,0,134,564,0,3,0.00,0,0,0,0,01,1,030,2025
2026-01-16 09:53:14.000,683.00,0,131,276,0,4,7.00,0,7,0,0,01,1,030,2025
2026-01-16 09:53:14.000,0.00,0,0,0,0,1,0.00,0,0,0,0,01,2,030,2025
2026-01-16 09:53:14.000,0.00,0,0,0,0,2,0.00,0,0,0,0,01,2,030,2025
2026-01-16 09:53:14.000,9496.00,0,196,4650,0,1,249.00,0,135,57,0,02,1,030,2025
2026-01-16 09:53:14.000,43475.00,0,12544,14858,540,2,7979.00,0,1389,3295,0,02,1,030,2025
2026-01-16 09:53:14.000,656.00,0,0,328,0,3,0.00,0,0,0,0,02,1,030,2025
2026-01-16 09:53:14.000,260.00,0,0,130,0,4,0.00,0,0,0,0,02,1,030,2025
2026-01-16 09:53:14.000,0.00,0,0,0,0,1,0.00,0,0,0,0,02,2,030,2025
