기준연월,계층,터미널,부두군,당월_천TEU,누계_천TEU,전년당월_천TEU,전년누계_천TEU,전년연간_천TEU,전년대비_당월_%,전년대비_누계_%,표모양
2025-10,합계,컨테이너 합계,,279.0,2839.0,298.0,2953.0,3558.0,-6.3,-3.9,평월
2025-10,부두군,신항,신항,177.0,1850.0,187.0,1957.0,2357.0,-5.3,-5.5,평월
2025-10,터미널,SNCT,신항,87.0,904.0,91.0,938.0,1128.0,-5.1,-3.6,평월
2025-10,터미널,HJIT,신항,91.0,945.0,96.0,1019.0,1230.0,-5.5,-7.2,평월
2025-10,부두군,남항,남항,65.0,614.0,68.0,632.0,753.0,-4.4,-2.8,평월
2025-10,터미널,E1CT,남항,24.0,218.0,24.0,220.0,264.0,1.0,-0.6,평월
2025-10,터미널,ICT,남항,41.0,396.0,44.0,413.0,488.0,-7.3,-4.0,평월
2025-10,터미널,IPT,국제여객부두,37.0,375.0,43.0,364.0,447.0,-13.6,3.0,평월
2025-10,그 외,그 외,,0.0,0.0,0.0,0.0,1.0,,,평월
2025-11,합계,컨테이너 합계,,303.0,3142.0,284.0,3237.0,3558.0,6.8,-2.9,평월
2025-11,부두군,신항,신항,195.0,2045.0,187.0,2144.0,2357.0,4.4,-4.6,평월
2025-11,터미널,SNCT,신항,91.0,995.0,86.0,1024.0,1128.0,6.0,-2.8,평월
2025-11,터미널,HJIT,신항,105.0,1050.0,101.0,1120.0,1230.0,3.1,-6.3,평월
2025-11,부두군,남항,남항,66.0,680.0,57.0,689.0,753.0,15.1,-1.3,평월
2025-11,터미널,E1CT,남항,28.0,246.0,22.0,242.0,264.0,25.8,1.8,평월
2025-11,터미널,ICT,남항,38.0,434.0,35.0,448.0,488.0,8.4,-3.0,평월
2025-11,터미널,IPT,국제여객부두,42.0,416.0,39.0,403.0,447.0,6.1,3.3,평월
2025-12,합계,컨테이너 합계,,302.0,3444.0,322.0,3558.0,3558.0,-6.1,-3.2,평월
2025-12,부두군,신항,신항,193.0,2238.0,213.0,2357.0,2357.0,-9.6,-5.1,평월
2025-12,터미널,SNCT,신항,84.0,1079.0,104.0,1128.0,1128.0,-19.8,-4.3,평월
2025-12,터미널,HJIT,신항,109.0,1159.0,109.0,1230.0,1230.0,0.1,-5.7,평월
2025-12,부두군,남항,남항,72.0,752.0,63.0,753.0,753.0,13.3,-0.1,평월
2025-12,터미널,E1CT,남항,29.0,275.0,23.0,264.0,264.0,29.6,4.2,평월
2025-12,터미널,ICT,남항,43.0,477.0,41.0,488.0,488.0,4.3,-2.4,평월
2025-12,터미널,IPT,국제여객부두,38.0,454.0,44.0,447.0,447.0,-15.6,1.4,평월
2025-12,그 외,그 외,,,,1.0,1.0,1.0,-99.6,-95.9,평월
2026-01,합계,컨테이너 합계,,302.0,,293.0,,3444.0,3.0,,평월
2026-01,부두군,신항,신항,200.0,200.0,199.0,199.0,2238.0,0.5,0.5,1월(누계열 없음)
2026-01,터미널,SNCT,신항,95.0,95.0,100.0,100.0,1079.0,-5.3,-5.3,1월(누계열 없음)
2026-01,터미널,HJIT,신항,105.0,105.0,99.0,99.0,1159.0,6.3,6.3,1월(누계열 없음)
2026-01,부두군,남항,남항,64.0,64.0,59.0,59.0,752.0,8.9,8.9,1월(누계열 없음)
2026-01,터미널,E1CT,남항,27.0,27.0,23.0,23.0,275.0,17.0,17.0,1월(누계열 없음)
2026-01,터미널,ICT,남항,38.0,38.0,36.0,36.0,477.0,3.8,3.8,1월(누계열 없음)
2026-01,터미널,IPT,국제여객부두,38.0,38.0,35.0,35.0,454.0,7.1,7.1,1월(누계열 없음)
2026-01,그 외,그 외,,,,,,,,,1월(누계열 없음)
2026-02,합계,컨테이너 합계,,241.0,543.0,225.0,518.0,3444.0,7.1,4.8,평월
2026-02,부두군,신항,신항,161.0,361.0,148.0,347.0,2238.0,8.9,4.1,평월
2026-02,터미널,SNCT,신항,73.0,167.0,77.0,177.0,1079.0,-5.7,-5.4,평월
2026-02,터미널,HJIT,신항,89.0,194.0,71.0,170.0,1159.0,24.7,14.0,평월
2026-02,부두군,남항,남항,55.0,120.0,54.0,113.0,752.0,2.6,5.9,평월
2026-02,터미널,E1CT,남항,22.0,49.0,18.0,41.0,275.0,19.6,18.2,평월
2026-02,터미널,ICT,남항,33.0,71.0,35.0,72.0,477.0,-6.3,-1.2,평월
2026-02,터미널,IPT,국제여객부두,24.0,62.0,23.0,58.0,454.0,6.0,6.7,평월
