기준연월,계층,터미널,부두군,당월_천TEU,누계_천TEU,전년당월_천TEU,전년누계_천TEU,전년연간_천TEU,전년대비_당월_%,전년대비_누계_%,표모양
2023-03,합계,컨테이너 합계,,299.0,801.0,249.0,757.0,3193.0,20.0,5.7,평월
2023-03,부두군,신항,신항,197.0,519.0,149.0,476.0,2025.0,31.8,9.0,평월
2023-03,터미널,SNCT,신항,106.0,268.0,68.0,218.0,942.0,55.2,22.9,평월
2023-03,터미널,HJIT,신항,91.0,251.0,81.0,258.0,1083.0,12.3,-2.7,평월
2023-03,부두군,남항,남항,61.0,177.0,61.0,174.0,700.0,-0.6,2.0,평월
2023-03,터미널,E1CT,남항,19.0,59.0,22.0,66.0,256.0,-13.1,-9.8,평월
2023-03,터미널,ICT,남항,42.0,118.0,39.0,108.0,444.0,6.4,9.2,평월
2023-03,터미널,IPT,국제여객부두,41.0,103.0,39.0,106.0,463.0,5.6,-3.3,평월
2023-03,그 외,그 외,,0.5,1.0,0.0,1.0,4.0,,23.5,평월
2023-04,합계,컨테이너 합계,,287.0,1088.0,243.0,1001.0,3193.0,18.2,8.7,평월
2023-04,부두군,신항,신항,190.0,709.0,159.0,636.0,2025.0,19.1,11.5,평월
2023-04,터미널,SNCT,신항,100.0,368.0,66.0,284.0,942.0,50.7,29.4,평월
2023-04,터미널,HJIT,신항,90.0,341.0,93.0,352.0,1083.0,-3.4,-2.9,평월
2023-04,부두군,남항,남항,60.0,238.0,52.0,226.0,700.0,15.5,5.1,평월
2023-04,터미널,E1CT,남항,21.0,80.0,17.0,83.0,256.0,20.0,-3.6,평월
2023-04,터미널,ICT,남항,40.0,158.0,35.0,143.0,444.0,13.2,10.2,평월
2023-04,터미널,IPT,국제여객부두,37.0,140.0,32.0,137.0,463.0,17.2,2.3,평월
2023-04,그 외,그 외,,1.0,1.0,2.0,2.0,4.0,-33.5,-33.5,1월(누계열 없음)
2023-05,합계,컨테이너 합계,,282.0,1370.0,293.0,1294.0,3193.0,-3.9,5.9,평월
2023-05,부두군,신항,신항,189.0,898.0,184.0,820.0,2025.0,2.5,9.5,평월
2023-05,터미널,SNCT,신항,97.0,464.0,85.0,370.0,942.0,13.2,25.6,평월
2023-05,터미널,HJIT,신항,92.0,433.0,99.0,450.0,1083.0,-6.7,-3.7,평월
2023-05,부두군,남항,남항,59.0,297.0,64.0,290.0,700.0,-6.7,2.5,평월
2023-05,터미널,E1CT,남항,19.0,99.0,22.0,105.0,256.0,-13.1,-5.6,평월
2023-05,터미널,ICT,남항,41.0,198.0,42.0,185.0,444.0,-3.4,7.1,평월
2023-05,터미널,IPT,국제여객부두,34.0,175.0,46.0,184.0,463.0,-25.9,-4.9,평월
2023-06,합계,컨테이너 합계,,280.0,1650.0,261.0,1555.0,3193.0,7.3,6.1,평월
2023-06,부두군,신항,신항,185.0,1083.0,161.0,981.0,2025.0,15.1,10.4,평월
2023-06,터미널,SNCT,신항,94.0,558.0,73.0,442.0,942.0,29.4,26.2,평월
2023-06,터미널,HJIT,신항,91.0,524.0,88.0,538.0,1083.0,3.3,-2.6,평월
2023-06,부두군,남항,남항,63.0,360.0,60.0,350.0,700.0,3.5,2.7,평월
2023-06,터미널,E1CT,남항,22.0,121.0,21.0,126.0,256.0,6.2,-3.6,평월
2023-06,터미널,ICT,남항,40.0,239.0,39.0,225.0,444.0,2.0,6.2,평월
2023-06,터미널,IPT,국제여객부두,32.0,206.0,39.0,222.0,463.0,-17.4,-7.4,평월
2023-07,합계,컨테이너 합계,,286.0,1936.0,291.0,1846.0,3193.0,-1.5,4.9,평월
2023-07,부두군,신항,신항,194.0,1277.0,183.0,1164.0,2025.0,6.1,9.7,평월
2023-07,터미널,SNCT,신항,97.0,655.0,83.0,526.0,942.0,16.0,24.6,평월
2023-07,터미널,HJIT,신항,98.0,622.0,100.0,638.0,1083.0,-2.1,-2.5,평월
2023-07,부두군,남항,남항,59.0,419.0,64.0,414.0,700.0,-7.6,1.1,평월
2023-07,터미널,E1CT,남항,22.0,143.0,21.0,147.0,256.0,3.4,-2.6,평월
2023-07,터미널,ICT,남항,37.0,276.0,43.0,268.0,444.0,-12.9,3.1,평월
2023-07,터미널,IPT,국제여객부두,33.0,239.0,43.0,265.0,463.0,-23.6,-10.0,평월
2023-08,합계,컨테이너 합계,,285.0,2222.0,273.0,2119.0,3193.0,4.4,4.9,평월
2023-08,부두군,신항,신항,192.0,1470.0,178.0,1342.0,2025.0,7.8,9.5,평월
2023-08,터미널,SNCT,신항,94.0,750.0,85.0,610.0,942.0,11.6,22.8,평월
2023-08,터미널,HJIT,신항,98.0,720.0,93.0,731.0,1083.0,4.5,-1.5,평월
2023-08,부두군,남항,남항,59.0,478.0,55.0,469.0,700.0,8.7,2.0,평월
