기준연월,첨부URL,바이트,SHA256_앞16
2025-10,https://incheon.mof.go.kr/boardFileDown.do?file_idx=161451,98864,085B28DF6C5F9106
2025-11,https://incheon.mof.go.kr/boardFileDown.do?file_idx=162161,99082,56616117444C5ED3
2025-12,https://incheon.mof.go.kr/boardFileDown.do?file_idx=163141,133559,E4A6E815E5E90761
2026-01,https://incheon.mof.go.kr/boardFileDown.do?file_idx=164016,113426,F69D577255C25409
2026-02,https://incheon.mof.go.kr/boardFileDown.do?file_idx=164886,127862,6B196AE50235CB97
2026-03,https://incheon.mof.go.kr/boardFileDown.do?file_idx=165837,130905,28434D40E641FA9D
2026-04,https://incheon.mof.go.kr/boardFileDown.do?file_idx=166802,130915,3AEC909DC2250603
2026-05,https://incheon.mof.go.kr/boardFileDown.do?file_idx=167538,129694,5AEA884DC4BDE439
2026-06,https://incheon.mof.go.kr/boardFileDown.do?file_idx=168202,133666,600AB6FC5A5510EC
2026-07,https://incheon.mof.go.kr/boardFileDown.do?file_idx=168991,133633,A0AB935DEAB97570
